Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
1.85,4.6046385e-05,15023.2
1.86,4.5748176e-05,14923.799
1.87,4.5451372e-05,14825.05
1.88,4.5155815e-05,14726.95
1.89,4.4861383e-05,14629.494
1.9,4.456798e-05,14532.681
1.91,4.427554e-05,14436.504
1.92,4.398404e-05,14340.96
1.93,4.369346e-05,14246.047
1.94,4.3403827e-05,14151.76
1.95,4.311517e-05,14058.096
1.96,4.282755e-05,13965.051
1.97,4.254104e-05,13872.621
1.98,4.225572e-05,13780.805
1.99,4.197169e-05,13689.598
2,4.168904e-05,13598.996
2.01,4.140788e-05,13508.996
2.02,4.1128307e-05,13419.597
2.03,4.0850424e-05,13330.792
2.04,4.057432e-05,13242.58
2.05,4.0300085e-05,13154.957
2.06,4.0027793e-05,13067.921
2.07,3.9757517e-05,12981.467
2.08,3.948931e-05,12895.592
2.09,3.9223218e-05,12810.292
2.1,3.8959275e-05,12725.565
2.11,3.86975e-05,12641.407
2.12,3.8437905e-05,12557.814
2.13,3.8180486e-05,12474.784
2.14,3.7925263e-05,12392.315
2.15,3.771958e-05,12313.58
2.16,3.83573e-05,12276.601
2.17,4.242648e-05,12370.704
2.18,5.31592e-05,12667.902
2.19,7.198528e-05,13162.493
2.2,9.740188e-05,13780.337
2.21,0.0001257723,14426.612
2.22,0.00015295066,15024.907
2.23,0.00017559694,15532.318
2.24,0.00019183375,15939.16
2.25,0.00020124896,16257.455
2.26,0.00020444315,16505.771
2.27,0.00020248129,16698.818
2.28,0.00019649151,16843.834
2.29,0.00018747417,16941.938
2.3,0.00017626671,16991.502
2.31,0.00016357786,16991.354
2.32,0.0001500282,16942.781
2.33,0.00013617164,16850.268
2.34,0.00012249868,16721.258
2.35,0.00010943119,16565.357
2.36,9.731635e-05,16393.271
2.37,8.642236e-05,16215.689
2.38,7.6935976e-05,16042.307
2.39,6.896151e-05,15881.062
2.4,6.252215e-05,15737.683
2.41,5.7564932e-05,15615.555
2.42,5.397059e-05,15515.849
2.43,5.156794e-05,15437.86
2.44,5.015167e-05,15379.453
2.45,4.9501275e-05,15337.528
2.46,4.9398965e-05,15308.453
2.47,4.9644663e-05,15288.423
2.48,5.006701e-05,15273.737
2.49,5.0529965e-05,15260.999
2.5,5.0935232e-05,15247.24
2.51,5.1221203e-05,15230.002
2.52,5.135919e-05,15207.371
2.53,5.134794e-05,15177.987
2.54,5.12072e-05,15141.033
2.55,5.097105e-05,15096.191
2.56,5.068156e-05,15043.603
2.57,5.0383147e-05,14983.786
2.58,5.0117822e-05,14917.569
2.59,4.9921513e-05,14845.998
2.6,4.982142e-05,14770.242
2.61,4.9834438e-05,14691.514
2.62,4.9966544e-05,14610.986
2.63,5.0213024e-05,14529.728
2.64,5.055945e-05,14448.649
2.65,5.0983243e-05,14368.473
2.66,5.145563e-05,14289.715
2.67,5.194388e-05,14212.683
2.68,5.24136e-05,14137.491
2.69,5.2830987e-05,14064.084
2.7,5.3164844e-05,13992.267
2.71,5.3388314e-05,13921.739
2.72,5.3480195e-05,13852.135
2.73,5.3425843e-05,13783.057
2.74,5.3217595e-05,13714.106
2.75,5.2854786e-05,13644.916
2.76,5.2343363e-05,13575.167
2.77,5.1695173e-05,13504.606
2.78,5.0927014e-05,13433.059
2.79,5.005947e-05,13360.427
2.8,4.9115697e-05,13286.688
2.81,4.812019e-05,13211.896
2.82,4.7097554e-05,13136.163
2.83,4.6071465e-05,13059.647
2.84,4.5063705e-05,12982.546
2.85,4.4093456e-05,12905.074
2.86,4.3176733e-05,12827.454
2.87,4.2326064e-05,12749.902
2.88,4.1550367e-05,12672.618
2.89,4.085497e-05,12595.774
2.9,4.0241845e-05,12519.513
2.91,3.9709917e-05,12443.94
2.92,3.9255512e-05,12369.128
2.93,3.887283e-05,12295.108
2.94,3.8554463e-05,12221.884
2.95,3.829192e-05,12149.426
2.96,3.8076116e-05,12077.686
2.97,3.789782e-05,12006.593
2.98,3.7748036e-05,11936.069
2.99,3.761832e-05,11866.028
3,3.750103e-05,11796.386
3.01,3.7389476e-05,11727.059
3.02,3.7278027e-05,11657.975
3.03,3.7162128e-05,11589.072
3.04,3.7038284e-05,11520.302
3.05,3.690399e-05,11451.629
3.06,3.6757636e-05,11383.03
3.07,3.6598365e-05,11314.5
3.08,3.642596e-05,11246.04
3.09,3.6240697e-05,11177.664
3.1,3.604322e-05,11109.394
3.11,3.5834422e-05,11041.257
3.12,3.5617748e-05,10973.492
3.13,3.562827e-05,10919.597
3.14,3.7564558e-05,10950.614
3.15,4.5003522e-05,11173.147
3.16,6.124553e-05,11643.798
3.17,8.694544e-05,12331.043
3.18,0.000119648605,13144.25
3.19,0.00015502387,13982.696
3.2,0.00018850355,14767.233
3.21,0.00021641952,15449.156
3.22,0.00023649757,16008.28
3.23,0.00024795014,16448.271
3.24,0.00025122133,16785.912
3.25,0.0002475082,17039.416
3.26,0.00023829042,17221.559
3.27,0.00022501044,17338.361
3.28,0.00020892698,17391.455
3.29,0.000191092,17381.58
3.3,0.00017238349,17311.47
3.31,0.00015354503,17187.342
3.32,0.00013521059,17019.006
