environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
1.68,16817.7,5.16063e-5
1.69,16706.4,5.12385e-5
1.7,16595.8,5.08772e-5
1.71,16486,5.05224e-5
1.72,16377,5.01737e-5
1.73,16268.6,4.98309e-5
1.74,16161,4.94936e-5
1.75,16054.1,4.91615e-5
1.76,15947.9,4.88343e-5
1.77,15842.5,4.85116e-5
1.78,15737.7,4.81929e-5
1.79,15633.6,4.78779e-5
1.8,15530.2,4.75662e-5
1.81,15427.4,4.72576e-5
1.82,15325.4,4.69515e-5
1.83,15224,4.66479e-5
1.84,15123.3,4.63462e-5
1.85,15023.2,4.60464e-5
1.86,14923.8,4.57482e-5
1.87,14825.1,4.54514e-5
1.88,14727,4.51559e-5
1.89,14629.5,4.48614e-5
1.9,14532.7,4.4568e-5
1.91,14436.5,4.42756e-5
1.92,14341,4.39841e-5
1.93,14246.1,4.36935e-5
1.94,14151.8,4.34039e-5
1.95,14058.1,4.31152e-5
1.96,13965.1,4.28276e-5
1.97,13872.6,4.25411e-5
1.98,13780.8,4.22558e-5
1.99,13689.6,4.19717e-5
2,13599,4.16891e-5
2.01,13509,4.14079e-5
2.02,13419.6,4.11284e-5
2.03,13330.8,4.08505e-5
2.04,13242.6,4.05744e-5
2.05,13155,4.03001e-5
2.06,13067.9,4.00278e-5
2.07,12981.5,3.97576e-5
2.08,12895.6,3.94894e-5
2.09,12810.3,3.92233e-5
2.1,12725.6,3.89593e-5
2.11,12641.4,3.86975e-5
2.12,12557.8,3.84379e-5
2.13,12474.8,3.81805e-5
2.14,12392.3,3.79253e-5
2.15,12313.6,3.77192e-5
2.16,12276.6,3.83565e-5
2.17,12370.8,4.24286e-5
2.18,12668.3,5.31702e-5
2.19,13163.3,7.20097e-5
2.2,13781.5,9.74405e-5
2.21,14428,0.000125822
2.22,15026.4,0.000153008
2.23,15533.9,0.000175658
2.24,15940.9,0.000191895
2.25,16259.3,0.00020131
2.26,16507.7,0.000204502
2.27,16700.8,0.000202537
2.28,16845.8,0.000196543
2.29,16944,0.00018752
2.3,16993.5,0.000176307
2.31,16993.3,0.000163612
2.32,16944.7,0.000150056
2.33,16852.1,0.000136194
2.34,16723.1,0.000122515
2.35,16567.1,0.000109443
2.36,16394.9,9.73244e-5
2.37,16217.3,8.64271e-5
2.38,16043.9,7.69381e-5
